"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"SL",2026-07-03,87.4,-1.69,5.94,"Pallante, Andre",673548,669467,NA,"foul",NA,NA,NA,NA,6,NA,"R","R","R","CHC","STL","S",NA,NA,2,2,2026,0.29,0.07,0.771717336248961,2.18510112075208,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,NA,NA,5.29295507160557,-127.362716303377,-2.91156283943411,2.21202447989395,23.7949683211399,-31.0991742663215,3.177878937,1.60378937,89,66.5,77,88.4,2342,6.6,824659,671056,676475,802139,691458,691026,665877,701675,691023,53.86,NA,NA,NA,NA,NA,NA,NA,62,5,"Slider",0,16,0,16,16,0,0,16,"Standard","Standard",93,0,0,74,7.9,NA,NA,0,88,-16,-16,0.001,0.001,27,31,28,32,3,2,6,2,NA,1,2.89,-0.29,-0.29,55.7,19.3941019103429,-15.6046430226129,30.3690878639178,44.356465165841
"SI",2026-07-03,96.6,-1.7,5.96,"Pallante, Andre",673548,669467,NA,"ball",NA,NA,NA,NA,14,NA,"R","R","R","CHC","STL","B",NA,NA,1,2,2026,-1,0.81,2.05328236641213,1.82820609784862,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,NA,NA,12.2190014273791,-140.11205250045,-7.12270496550289,-15.8415136129482,29.0400902440183,-19.9984361215844,3.177878937,1.60378937,NA,NA,NA,97.2,1979,6.6,824659,671056,676475,802139,691458,691026,665877,701675,691023,53.86,NA,NA,NA,NA,NA,NA,NA,62,4,"Sinker",0,16,0,16,16,0,0,16,"Standard","Standard",201,0,0.049,NA,NA,NA,NA,-0.049,NA,-16,-16,0.001,0.001,27,31,28,32,3,2,6,2,NA,1,1.63,1,1,53.3,NA,NA,NA,NA
"SL",2026-07-03,88.7,-1.66,5.98,"Pallante, Andre",673548,669467,NA,"swinging_strike",NA,NA,NA,NA,14,NA,"R","R","R","CHC","STL","S",NA,NA,1,1,2026,0.38,0.29,0.832220314764837,1.32831735505317,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,NA,NA,5.25610500278103,-129.22413890167,-5.81533717350479,3.30313702470724,23.3686951169079,-28.0502650151219,3.177878937,1.60378937,NA,NA,NA,89.8,2211,6.6,824659,671056,676475,802139,691458,691026,665877,701675,691023,53.87,NA,NA,NA,NA,NA,NA,NA,62,3,"Slider",0,16,0,16,16,0,0,16,"Standard","Standard",154,0,-0.062,73.5,8.3,2.305328544,NA,0.062,NA,-16,-16,0.001,0.001,27,31,28,32,3,2,6,2,NA,1,2.57,-0.38,-0.38,55.3,19.8147198877319,-15.1434725760804,34.6085493474574,45.6413189391291
"SL",2026-07-03,88,-1.7,6.01,"Pallante, Andre",673548,669467,NA,"called_strike",NA,NA,NA,NA,3,NA,"R","R","R","CHC","STL","S",NA,NA,1,0,2026,0.49,0.24,0.557192020145626,3.04074677139547,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,NA,NA,4.39708808081738,-128.251733488734,-1.50195110189625,4.66788490667071,22.7414619484713,-29.3995631922255,3.177878937,1.60378937,NA,NA,NA,89,2240,6.5,824659,671056,676475,802139,691458,691026,665877,701675,691023,53.98,NA,NA,NA,NA,NA,NA,NA,62,2,"Slider",0,16,0,16,16,0,0,16,"Standard","Standard",155,0,-0.059,NA,NA,NA,NA,0.059,NA,-16,-16,0.001,0.001,27,31,28,32,3,2,6,2,NA,1,2.66,-0.49,-0.49,54.8,NA,NA,NA,NA
"FF",2026-07-03,94.9,-1.69,6.19,"Pallante, Andre",673548,669467,NA,"ball",NA,NA,NA,NA,11,NA,"R","R","R","CHC","STL","B",NA,NA,0,0,2026,-0.25,1.06,-0.248117601396168,3.55971608753427,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,NA,NA,4.30801222984999,-138.260088077478,-3.52817450205274,-4.05151755169281,27.9747046596682,-17.931399066943,3.177878937,1.60378937,NA,NA,NA,95.6,2221,6.4,824659,671056,676475,802139,691458,691026,665877,701675,691023,54.08,NA,NA,NA,NA,NA,NA,NA,62,1,"4-Seam Fastball",0,16,0,16,16,0,0,16,"Standard","Standard",188,0,0.046,NA,NA,NA,NA,-0.046,NA,-16,-16,0.001,0.001,27,31,28,32,3,2,6,2,NA,1,1.44,0.25,0.25,58.2,NA,NA,NA,NA
"FF",2026-07-03,95.6,-1.63,6.07,"Pallante, Andre",683737,669467,"field_out","hit_into_play",NA,NA,NA,NA,3,"Michael Busch grounds out, third baseman Blaze Jordan to first baseman Alec Burleson.","R","L","R","CHC","STL","X",5,"ground_ball",0,0,2026,0,0.59,0.425777799336808,3.20812181350494,NA,NA,608324,2,5,"Bot",109.94,158.62,NA,NA,NA,NA,5.39373185057767,-139.221883548751,-3.11492394767514,-1.21807666519288,29.9819700839545,-24.0439117406932,3.166469816,1.598031496,72,71.9,4,96.2,1987,6.5,824659,671056,676475,802139,691458,691026,665877,701675,691023,53.99,0.15,0.137,0,1,0,0,2,54,1,"4-Seam Fastball",0,14,0,14,14,0,0,14,"Infield shade","Standard",184,-0.001,-0.279,63.6,5.6,NA,0.169,0.279,88,-14,-14,0.002,0.002,27,28,28,29,3,2,6,2,NA,1,1.89,0,0,59.9,-3.06739072183732,16.5619650161256,28.3930455466371,31.7035443880291
"SI",2026-07-03,96.4,-1.48,6.02,"Pallante, Andre",608324,669467,"single","hit_into_play",NA,NA,NA,NA,8,"Alex Bregman singles on a line drive to left fielder José Fermín.","R","R","R","CHC","STL","X",7,"line_drive",2,2,2026,-0.97,1.18,-0.224912884250267,2.04917435911023,NA,NA,NA,2,5,"Bot",94.85,80.15,NA,NA,NA,NA,5.55814665130336,-140.135478985225,-7.49770911574021,-14.0373869490152,31.010878927095,-15.1071557205923,3.126099081,1.57765748,196,97.8,10,96.8,2124,6.5,824659,671056,676475,802139,691458,691026,665877,701675,691023,54,0.74,0.721,0.9,1,1,0,4,53,5,"Sinker",0,14,0,14,14,0,0,14,"Standard","Standard",219,0.001,0.382,71.1,7,NA,0.895,-0.382,97.8,-14,-14,0.001,0.001,27,32,28,32,3,2,6,2,NA,1,1.27,0.97,0.97,57.7,11.1705106924673,1.66410900985814,30.2626037443339,31.405850685311
"SL",2026-07-03,87.7,-1.75,5.95,"Pallante, Andre",608324,669467,NA,"called_strike",NA,NA,NA,NA,1,NA,"R","R","R","CHC","STL","S",NA,NA,2,1,2026,0.21,0.15,-0.622023747863906,3.22392828747574,NA,NA,NA,2,5,"Bot",NA,NA,NA,NA,NA,NA,2.27607449176862,-127.861080848834,-0.676183904117498,1.90238667165793,23.0307031518781,-30.6194436160797,3.126099081,1.57765748,NA,NA,NA,88.7,2108,6.5,824659,671056,676475,802139,691458,691026,665877,701675,691023,53.96,NA,NA,NA,NA,NA,NA,NA,53,4,"Slider",0,14,0,14,14,0,0,14,"Standard","Standard",105,0,-0.081,NA,NA,NA,NA,0.081,NA,-14,-14,0.001,0.001,27,32,28,32,3,2,6,2,NA,1,2.78,-0.21,-0.21,54.6,NA,NA,NA,NA
"SL",2026-07-03,88.4,-1.79,6,"Pallante, Andre",608324,669467,NA,"ball",NA,NA,NA,NA,12,NA,"R","R","R","CHC","STL","B",NA,NA,1,1,2026,0.55,-0.12,1.05499146946824,2.60075322324929,NA,NA,NA,2,5,"Bot",NA,NA,NA,NA,NA,NA,5.73050104705166,-128.650418741635,-1.77839635334332,4.95099870357754,25.505547095477,-33.3070414011139,3.126099081,1.57765748,NA,NA,NA,89.1,2196,6.6,824659,671056,676475,802139,691458,691026,665877,701675,691023,53.88,NA,NA,NA,NA,NA,NA,NA,53,3,"Slider",0,14,0,14,14,0,0,14,"Standard","Standard",125,0,0.054,NA,NA,NA,NA,-0.054,NA,-14,-14,0.001,0.001,27,32,28,32,3,2,6,2,NA,1,3.02,-0.55,-0.55,54.9,NA,NA,NA,NA
"KC",2026-07-03,79.2,-1.43,6.05,"Pallante, Andre",608324,669467,NA,"ball",NA,NA,NA,NA,14,NA,"R","R","R","CHC","STL","B",NA,NA,0,1,2026,0.13,-1.39,0.236219543709159,0.804956734046446,NA,NA,NA,2,5,"Bot",NA,NA,NA,NA,NA,NA,3.35936382661145,-115.283388650926,-1.74313749691112,0.534479650173903,22.1319122815193,-44.4030179733233,3.126099081,1.57765748,NA,NA,NA,79.4,2703,6.5,824659,671056,676475,802139,691458,691026,665877,701675,691023,53.98,NA,NA,NA,NA,NA,NA,NA,53,2,"Knuckle Curve",0,14,0,14,14,0,0,14,"Standard","Standard",16,0,0.033,NA,NA,NA,NA,-0.033,NA,-14,-14,0.001,0.001,27,32,28,32,3,2,6,2,NA,1,5.03,-0.13,-0.13,59.9,NA,NA,NA,NA
